순위,제목,가수,앨범,좋아요
1,Golden,HUNTR/X/EJAE/AUDREY NUNA/REI AMI/KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),177698
2,Drowning,WOODZ,OO-LI,260237
3,뛰어(JUMP),BLACKPINK,뛰어(JUMP),81627
4,Soda Pop,KPop Demon Hunters Cast/Danny Chung/Saja Boys/Andrew Choi/Neckwav/Kevin Woo/samUIL Lee,KPop Demon Hunters (Soundtrack from the Netflix Film),109195
5,Rich Man,aespa,Rich Man - The 6th Mini Album,42977
6,FAMOUS,ALLDAY PROJECT,FAMOUS,117418
7,시작의 아이 ❍,박다혜/마크툽 (MAKTUB),시작의 아이 ❍ ハジマリのコ Starting With You : ♡,53204
8,XOXZ,IVE (아이브),IVE SECRET,42441
9,body,다영 (DAYOUNG),"gonna love me, right?",30420
10,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,64471
11,IRIS OUT,Yonezu Kenshi,IRIS OUT,30361
12,운명 (2025),먼데이 키즈/이이경,먼키의 발자국 Vol.1 With 이이경,26598
13,모르시나요(PROD.로코베리),조째즈,모르시나요,96398
14,한번 더 이별,이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭),21929
15,너에게 닿기를,10CM,너에게 닿기를,134065
16,시작의 아이,마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You),78197
17,Whiplash,aespa,Whiplash - The 5th Mini Album,147401
18,멸종위기사랑,이찬혁,EROS,44755
19,Dirty Work,aespa,Dirty Work,64953
20,"바이, 썸머",아이유,"바이, 썸머",44751
21,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",222225
22,Your Idol,KPop Demon Hunters Cast/Danny Chung/Saja Boys/Andrew Choi/Neckwav/Kevin Woo/samUIL Lee,KPop Demon Hunters (Soundtrack from the Netflix Film),65651
23,청춘만화,이무진,만화 (滿花),86175
24,like JENNIE,제니 (JENNIE),Ruby,98594
25,HAPPY,DAY6 (데이식스),Fourever,204087
26,Blue Valentine,NMIXX,Blue Valentine,14793
27,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),137425
28,나는 반딧불,황가람,나는 반딧불,153771
29,toxic till the end,로제 (ROSÉ),rosie,128355
30,Never Ending Story,아이유,꽃갈피 셋,77293
31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,488308
32,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,361164
33,APT.,로제 (ROSÉ)/Bruno Mars,APT.,217750
34,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,188785
35,꿈의 버스,DAY6 (데이식스),The DECADE,38790
36,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,83402
37,가만히 눈을 감고,DK(디셈버),가만히 눈을 감고,11105
38,Flower,오반(OVAN),교회오빠,70558
39,예뻤어,DAY6 (데이식스),Every DAY6 February,375865
40,Die With A Smile,Lady Gaga/Bruno Mars,Die With A Smile,119441
41,STYLE,Hearts2Hearts (하츠투하츠),STYLE,41094
42,WICKED,ALLDAY PROJECT,FAMOUS,51650
43,REBEL HEART,IVE (아이브),IVE EMPATHY,110482
44,Welcome to the Show,DAY6 (데이식스),Fourever,188783
45,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,167042
46,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch,151913
47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),161140
48,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,232153
49,JANE DOE,Yonezu Kenshi/Hikaru Utada (우타다 히카루),JANE DOE,16711
50,주저하는 연인들을 위해,잔나비,전설,449337
51,빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb,45759
52,How It’s Done,HUNTR/X/EJAE/AUDREY NUNA/REI AMI/KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),49027
53,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,312557
54,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438139
55,MY LOVE(2025),이예은/아샤트리/전건호,MY LOVE(2025),33741
56,Love wins all,아이유,The Winning,216040
57,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,165831
58,Supernova,aespa,Armageddon - The 1st Album,185705
59,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,64608
60,순간을 영원처럼,임영웅,IM HERO 2,36924
61,다정히 내 이름을 부르면,경서예지/전건호,다정히 내 이름을 부르면 (경서예지 x 전건호),218313
62,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),230761
63,INSIDE OUT,DAY6 (데이식스),The DECADE,31159
64,I AM,IVE (아이브),I've IVE,233943
65,고민중독,QWER,1st Mini Album 'MANITO',151979
66,숲,최유리,유영,177182
67,비의 랩소디,임재현,비의 랩소디,105751
68,Magnetic,아일릿(ILLIT),SUPER REAL ME,138753
69,슬픈 초대장,순순희(지환),슬픈 초대장,75074
70,에피소드,이무진,에피소드,134649
71,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'",37409
72,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE,35973
73,GO!,CORTIS (코르티스),COLOR OUTSIDE THE LINES,21330
74,헤어지자 말해요,박재정,1집 Alone,190289
75,LIKE YOU BETTER,프로미스나인,From Our 20's,39611
76,우리들의 블루스,임영웅,IM HERO,121046
77,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',103608
78,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',312644
79,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,226857
80,다시 만날 수 있을까,임영웅,IM HERO,98149
81,DRIP,BABYMONSTER,DRIP,68147
82,How Sweet,NewJeans,How Sweet,154330
83,인사,범진,인사,153967
84,ATTITUDE,IVE (아이브),IVE EMPATHY,65749
85,PO￦ER,G-DRAGON,PO￦ER,161698
86,HOT,LE SSERAFIM (르세라핌),HOT,46677
87,들꽃이 될게요,임영웅,IM HERO 2,30934
88,Supersonic,프로미스나인,Supersonic,87788
89,그댈 위한 멜로디,임영웅,IM HERO 2,30752
90,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,173137
91,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,115561
92,비가 와서,임영웅,IM HERO 2,30382
93,답장을 보낸지,임영웅,IM HERO 2,31427
94,Free,EJAE/KPop Demon Hunters Cast/Andrew Choi/Rumi/Jinu,KPop Demon Hunters (Soundtrack from the Netflix Film),41789
95,미치게 그리워서,황가람,미치게 그리워서,34825
96,천국보다 아름다운,임영웅,천국보다 아름다운,40541
97,Dash,PLAVE,Caligo Pt.1,62467
98,알겠어요 미안해요,임영웅,IM HERO 2,29110
99,ULSSIGU,임영웅,IM HERO 2,29903
100,OVERDRIVE,TWS (투어스),TWS 4th Mini Album ‘play hard’,6933
