항공사,출발시간,도착시간,좌석타입,가격
이스타항공,06:55,07:55,할인석,30600
이스타항공,06:55,07:55,일반석,76700
대한항공,07:00,08:00,할인석,53700
대한항공,07:00,08:00,일반석,81700
대한항공,07:00,08:00,비즈니스석,141700
진에어,07:30,08:30,특가석,25300
에어부산,07:30,08:35,할인석,27950
진에어,07:30,08:30,할인석,31500
대한항공,07:30,08:30,할인석,49700
대한항공,07:30,08:30,일반석,69700
진에어,07:30,08:30,일반석,71700
에어부산,07:30,08:35,일반석,76700
아시아나항공,07:30,08:35,일반석,77700
제주항공,08:00,09:05,특가석,31600
제주항공,08:00,09:05,일반석,76700
에어부산,08:00,09:00,일반석,76700
대한항공,09:55,10:55,일반석,130200
대한항공,10:20,11:20,일반석,81700
이스타항공,11:20,12:20,할인석,28600
이스타항공,11:20,12:20,일반석,76700
에어부산,11:25,12:35,할인석,30550
에어부산,11:25,12:35,일반석,76700
아시아나항공,11:25,12:35,일반석,77700
에어부산,11:30,12:35,할인석,29250
에어부산,11:30,12:35,일반석,76700
아시아나항공,11:30,12:35,일반석,77700
진에어,12:15,13:15,특가석,29500
진에어,12:15,13:15,할인석,30500
대한항공,12:15,13:15,할인석,49700
대한항공,12:15,13:15,일반석,69700
진에어,12:15,13:15,일반석,71700
진에어,12:15,13:15,비즈니스석,126700
제주항공,12:20,13:20,특가석,31600
제주항공,12:20,13:20,일반석,76700
에어부산,13:25,14:25,할인석,20150
에어부산,13:25,14:25,일반석,76700
아시아나항공,13:25,14:25,일반석,77700
진에어,13:45,14:45,특가석,22300
진에어,13:45,14:45,할인석,32500
대한항공,13:45,14:45,할인석,49700
대한항공,13:45,14:45,일반석,69700
진에어,13:45,14:45,일반석,71700
진에어,14:20,15:20,특가석,19300
진에어,14:20,15:20,할인석,35500
대한항공,14:20,15:20,할인석,49700
진에어,14:20,15:20,일반석,67700
대한항공,14:20,15:20,일반석,69700
에어부산,14:30,15:35,할인석,17700
에어부산,14:30,15:35,일반석,71700
아시아나항공,14:30,15:35,일반석,77700
제주항공,14:40,15:40,특가석,22600
제주항공,14:40,15:40,일반석,76700
에어부산,15:00,16:00,할인석,18900
에어부산,15:00,16:00,일반석,71700
아시아나항공,15:00,16:00,일반석,77700
제주항공,15:40,16:40,특가석,20100
제주항공,15:40,16:40,일반석,76700
에어부산,16:50,17:55,할인석,23100
에어부산,16:50,17:55,일반석,71700
아시아나항공,16:50,17:55,일반석,77700
제주항공,16:55,18:00,특가석,20100
제주항공,16:55,18:00,일반석,76700
이스타항공,17:30,18:30,할인석,18600
이스타항공,17:30,18:30,일반석,76700
이스타항공,18:00,19:00,할인석,16600
에어부산,18:00,19:00,할인석,20100
에어부산,18:00,19:00,일반석,71700
아시아나항공,18:00,19:00,일반석,74700
이스타항공,18:00,19:00,일반석,76700
진에어,19:00,20:00,할인석,33500
대한항공,19:00,20:00,할인석,47700
진에어,19:00,20:00,일반석,67700
대한항공,19:00,20:00,일반석,67700
진에어,19:00,20:00,비즈니스석,126700
대한항공,19:20,20:20,특가석,43700
대한항공,19:20,20:20,할인석,50700
대한항공,19:20,20:20,일반석,75700
대한항공,19:20,20:20,비즈니스석,135700
대한항공,21:15,22:15,일반석,75700
